"cuenta";"descripcion";"cuentaesp"
"224102";"Provisión por desahucio";""
"224103";"Otros beneficios no corrientes a empleados";""
"225101";"Provisión por litigios a largo plazo";""
"225102";"Provisión por desmantelamiento y restauración";""
"225199";"Otras provisiones no corrientes";""
"226101";"Pasivo por impuesto a la renta diferido";""
"227101";"Cuentas por pagar relacionadas locales - largo plazo";""
"227102";"Cuentas por pagar relacionadas del exterior - largo plazo";""
"228101";"Ingresos diferidos no corrientes";""
"228102";"Subvenciones diferidas no corrientes";""
"229101";"Obligaciones emitidas a largo plazo";""
"229102";"Otros pasivos no corrientes";""
"311101";"Capital social suscrito y pagado";""
"311102";"Capital asignado";""
"311103";"Capital en acciones o participaciones";""
"311104";"Otros aportes de capital formalizados";""
"311201";"(-) Capital suscrito no pagado";""
"311202";"(-) Acciones propias en tesorería";""
"311203";"(-) Participaciones propias readquiridas";""
"311204";"(-) Otros ajustes de capital";""
"312101";"Aportes de socios o accionistas para futura capitalización";""
"313101";"Prima en emisión primaria de acciones";""
"314101";"Otros componentes de capital";""
"321101";"Reserva legal";""
"321102";"Reserva facultativa";""
"321103";"Reserva estatutaria";""
"321201";"Reserva de capital";""
"321202";"Reserva por donaciones";""
"321203";"Otras reservas";""
"331101";"Ganancias acumuladas de ejercicios anteriores";""
"331102";"Ganancia neta del ejercicio";"PYG"
"331201";"(-) Pérdidas acumuladas de ejercicios anteriores";""
"331202";"(-) Pérdida neta del ejercicio";""
"332101";"Resultados acumulados por adopción inicial de NIIF";""
"333101";"Ajustes por errores de ejercicios anteriores";""
"333102";"Cambios en políticas contables de ejercicios anteriores";""
"341101";"Superávit por revaluación de propiedades, planta y equipo";""
"341102";"Superávit por revaluación de activos intangibles";""
"341103";"Superávit por revaluación de otros activos";""
"342101";"Ganancias o pérdidas actuariales";""
"342102";"Diferencias de conversión";""
"342103";"Cambios en valor razonable reconocidos en ORI";""
"342199";"Otros resultados integrales";""
"351101";"Participación no controladora";""
"411101";"Ventas locales de bienes gravadas con tarifa general";"VENTAS"
"411102";"Ventas locales de bienes con tarifa 0%";""
"411103";"Ventas locales de bienes no objeto o exentas de IVA";""
"411104";"Ventas de bienes a partes relacionadas";""
"411105";"Ventas de bienes del exterior";""
"411201";"Descuentos en ventas de bienes";""
"411202";"Descuentos en ventas gravadas con tarifa general";""
"411301";"Devoluciones en ventas de bienes";"DEVVEN"
"411302";"Devoluciones en ventas gravadas con tarifa general";""
"411401";"Fletes facturados en ventas";""
"411402";"Otros recargos en ventas";""
"412101";"Servicios locales gravados con tarifa general";""
"412102";"Servicios locales con tarifa 0%";""
"412103";"Servicios no objeto o exentos de IVA";""
"412104";"Servicios prestados a partes relacionadas";""
"412105";"Servicios prestados al exterior";""
"413101";"Ingresos por contratos de construcción";""
"413102";"Ingresos por avance de obra";""
"414101";"Exportaciones de bienes";""
"414102";"Exportaciones de servicios";""
"415101";"Regalías";""
"415102";"Comisiones ganadas";""
"415103";"Intereses generados por ventas a crédito";""
"415104";"Otros ingresos de actividades ordinarias";""
"416101";"Subvenciones del gobierno reconocidas en resultados";""
"421101";"Rendimientos financieros";""
"421102";"Intereses ganados";""
"421103";"Ganancia por diferencia de cambio";"CAMPOS"
"421104";"Ganancia en liquidaciones de tarjeta";"DIFTAG"
"421105";"Dividendos recibidos";""
"421201";"Ingresos por recuperaciones y reembolsos";""
"421202";"Ingresos provenientes del exterior";""
"421203";"Otros ingresos no operacionales";""
"422101";"Ganancia por medición de instrumentos financieros";""
"422102";"Ganancia por medición de activos biológicos";""
"422103";"Ganancia por medición de propiedades de inversión";""
"423101";"Ganancia en venta de propiedades, planta y equipo";""
"423102";"Ganancia en venta de activos intangibles";""
"423103";"Ganancia en venta de inversiones";""
"424101";"Reversión de deterioro de cuentas por cobrar";""
"424102";"Reversión de deterioro de inventarios";""
"424103";"Reversión de otras pérdidas por deterioro";""
"424104";"Reversión de provisiones";""
"431101";"Ingresos de operaciones discontinuadas";""
"511101";"Costo de bienes vendidos";"COMPRA"
"511102";"Costo de bienes vendidos gravados con tarifa general";""
"511103";"Costo de bienes vendidos con tarifa 0%";""
"511104";"Compras netas locales de mercaderías";""
"511105";"Importaciones de mercaderías";""
"511201";"Descuentos en compras";""
"511202";"Descuentos en compras gravadas con tarifa general";""
"511301";"Devoluciones en compras";"DEVCOM"
"511302";"Devoluciones en compras gravadas con tarifa general";""
"511401";"Fletes en compras";""
"511402";"Seguros y otros costos de importación";""
"511403";"Aranceles y gastos aduaneros";""
"511404";"Otros costos directos de adquisición";""
"512101";"Sueldos y salarios";""
"512102";"Horas extraordinarias y suplementarias";""
"512103";"Décimo tercer sueldo";""
"512104";"Décimo cuarto sueldo";""
"512105";"Fondo de reserva";""
"512106";"Vacaciones";""
"512107";"Aporte patronal al IESS";""
"512108";"Uniformes y equipos de protección";""
"512109";"Movilización";""
